node_id,state,tilt,displacement,crack_width,vibration,load_change,temperature,humidity,battery,rate_tilt_5m,rate_disp_5m,rate_crack_5m,risk_score,risk_level
N2,NORMAL,0.11,0.89,0.82,0.074,4.75,37.8,76.1,64.8,0.019,0.046,0.016,6.9,LOW
N1,NORMAL,0.68,1.56,0.96,0.086,-1.36,29.7,72.6,98.6,0.033,0.002,0.009,8.8,LOW
N6,SUBSIDENCE,6.93,41.1,13.27,3.581,68.85,25.6,92.9,87.5,1.787,3.168,0.445,100.0,CRITICAL
N5,NORMAL,0.22,1.91,0.23,0.149,2.27,37.1,81.9,90.4,0.006,0.007,0.009,7.8,LOW
N5,WARNING,2.28,4.61,3.47,0.444,9.25,29.1,85.1,85.5,0.119,0.493,0.113,39.7,MEDIUM
N3,NORMAL,0.45,1.03,0.75,0.167,0.27,29.3,80.5,81.5,0.015,0.027,0.003,7.4,LOW
N6,NORMAL,0.86,0.32,0.56,0.061,-0.33,32.9,84.3,61.9,0.039,0.015,0.007,6.4,LOW
N3,WARNING,1.37,6.1,3.86,0.749,34.61,28.6,73.3,83.1,0.138,0.269,0.043,48.2,MEDIUM
N3,NORMAL,0.51,0.73,0.61,0.072,0.48,37.5,79.7,82.4,0.03,0.012,0.015,2.9,LOW
N1,SUBSIDENCE,6.77,43.4,6.39,3.557,83.78,29.5,88.4,93.8,1.487,4.317,0.87,100.0,CRITICAL
N2,NORMAL,0.85,2.15,0.73,0.173,1.99,31.0,88.2,66.8,0.019,0.068,0.001,14.4,LOW
N5,NORMAL,0.54,1.01,0.33,0.124,1.48,24.2,71.6,91.0,0.04,0.006,0.009,8.0,LOW
N5,NORMAL,0.22,0.44,0.4,0.144,2.47,30.3,91.9,89.5,0.039,0.005,0.011,8.4,LOW
N2,NORMAL,0.57,1.47,0.42,0.091,2.44,35.2,93.3,76.6,0.011,0.033,0.006,9.0,LOW
N5,NORMAL,0.18,0.42,0.4,0.083,-0.98,25.4,78.4,64.7,0.04,0.05,0.002,4.8,LOW
N2,NORMAL,0.72,1.09,0.92,0.087,2.3,25.7,78.0,75.0,0.041,0.03,0.01,7.6,LOW
N6,NORMAL,0.57,0.45,0.4,0.159,4.56,25.6,75.4,87.4,0.012,0.03,0.0,8.3,LOW
N1,NORMAL,0.42,0.37,0.73,0.095,1.63,31.8,82.6,74.9,0.016,0.061,0.018,5.6,LOW
N1,WARNING,1.39,4.86,3.77,0.568,19.71,27.1,91.7,87.5,0.205,0.491,0.23,44.3,MEDIUM
N1,WARNING,1.49,4.55,2.31,0.227,21.63,31.3,90.4,91.2,0.115,0.421,0.121,36.2,MEDIUM
N2,WARNING,3.21,5.65,2.85,0.425,26.52,34.9,72.4,67.3,0.101,0.433,0.184,49.4,MEDIUM
N2,NORMAL,0.42,2.32,0.13,0.172,4.96,28.1,68.9,92.9,0.039,0.076,0.019,11.2,LOW
N4,NORMAL,0.29,0.3,0.2,0.09,1.47,37.0,71.8,68.4,0.003,0.044,0.012,3.8,LOW
N5,WARNING,2.1,7.91,2.01,0.205,12.97,32.5,81.8,72.9,0.19,0.389,0.198,42.3,MEDIUM
N5,NORMAL,0.71,1.62,0.18,0.138,0.75,24.4,69.8,95.6,0.037,0.018,0.013,9.3,LOW
N4,NORMAL,0.61,1.37,0.91,0.098,2.58,35.2,78.4,66.7,0.011,0.008,0.007,8.2,LOW
N4,WARNING,2.45,3.95,3.84,0.509,34.49,36.1,80.7,95.0,0.061,0.108,0.13,46.9,MEDIUM
N1,WARNING,1.5,6.35,2.98,0.491,17.15,25.5,76.6,80.5,0.212,0.485,0.083,41.2,MEDIUM
N4,NORMAL,0.66,1.18,0.33,0.076,-0.14,37.9,67.7,68.6,0.029,0.085,0.018,5.3,LOW
N2,NORMAL,0.9,1.68,0.13,0.121,0.85,25.3,77.5,60.3,0.048,0.086,0.001,8.4,LOW
N3,WARNING,1.42,7.63,3.38,0.563,29.91,35.9,73.5,90.5,0.113,0.608,0.162,52.7,HIGH
N2,NORMAL,1.04,1.46,0.41,0.172,-0.82,35.0,86.5,76.8,0.002,0.018,0.014,9.3,LOW
N4,WARNING,3.43,4.94,3.94,0.703,17.21,34.7,70.3,72.7,0.09,0.163,0.142,49.5,MEDIUM
N5,WARNING,2.65,5.03,2.81,0.566,16.42,26.1,79.2,83.1,0.246,0.592,0.178,42.3,MEDIUM
N2,WARNING,1.72,6.67,1.36,0.265,17.4,33.1,79.9,62.1,0.084,0.108,0.115,30.9,MEDIUM
N5,NORMAL,0.36,1.41,0.74,0.147,1.64,25.4,78.7,84.4,0.032,0.09,0.001,8.3,LOW
N2,NORMAL,0.11,1.24,0.17,0.123,-0.13,29.5,90.7,92.6,0.045,0.006,0.016,6.2,LOW
N5,WARNING,1.75,2.78,3.09,0.297,32.92,28.4,81.2,86.2,0.067,0.327,0.023,37.5,MEDIUM
N6,WARNING,2.87,7.08,1.33,0.614,13.35,32.8,82.9,83.4,0.085,0.286,0.217,43.1,MEDIUM
N2,WARNING,2.14,4.79,1.44,0.37,20.36,28.8,80.5,88.4,0.202,0.15,0.097,34.9,MEDIUM
N5,NORMAL,0.8,1.51,0.29,0.154,3.5,30.1,92.7,60.9,0.009,0.066,0.018,12.2,LOW
N3,NORMAL,0.67,0.79,0.26,0.16,0.18,25.1,73.6,78.8,0.001,0.054,0.019,7.5,LOW
N1,SUBSIDENCE,10.56,17.95,10.19,2.077,63.47,39.2,76.1,61.8,0.601,4.188,1.241,100.0,CRITICAL
N2,WARNING,1.47,4.47,3.73,0.739,29.66,35.5,80.3,72.7,0.11,0.562,0.157,52.6,HIGH
N3,SUBSIDENCE,3.66,37.42,13.54,2.593,106.78,25.7,68.7,61.8,1.029,1.968,0.675,100.0,CRITICAL
N1,WARNING,1.76,2.86,1.99,0.252,32.54,33.5,89.3,85.6,0.285,0.522,0.205,39.9,MEDIUM
N2,NORMAL,0.57,2.21,0.44,0.083,2.37,30.9,92.3,87.1,0.047,0.044,0.011,7.4,LOW
N3,WARNING,2.17,5.84,1.47,0.375,27.09,35.3,81.2,69.6,0.191,0.32,0.103,42.1,MEDIUM
N3,SUBSIDENCE,6.02,25.31,17.73,4.191,48.93,39.0,74.7,67.1,1.432,3.084,0.914,100.0,CRITICAL
N6,NORMAL,1.07,0.36,0.82,0.114,-0.85,26.1,85.4,65.1,0.011,0.016,0.014,8.8,LOW
N3,WARNING,3.05,7.56,2.68,0.731,16.71,25.8,91.3,91.4,0.111,0.224,0.13,52.0,HIGH
N6,NORMAL,0.72,1.86,0.05,0.053,2.35,33.1,89.1,81.9,0.024,0.06,0.002,10.5,LOW
N4,NORMAL,0.49,0.6,0.27,0.104,-0.21,30.9,69.2,99.8,0.039,0.013,0.01,4.8,LOW
N5,WARNING,3.09,4.63,3.05,0.588,24.53,31.6,65.1,68.9,0.158,0.72,0.197,52.6,HIGH
N1,NORMAL,0.66,2.27,0.63,0.087,-1.66,34.7,89.1,94.6,0.03,0.035,0.011,9.2,LOW
N5,NORMAL,0.8,2.28,0.69,0.145,2.8,25.6,67.8,79.7,0.044,0.022,0.015,12.4,LOW
N5,NORMAL,0.43,1.5,0.68,0.056,2.9,32.9,65.3,78.8,0.05,0.076,0.003,8.6,LOW
N6,NORMAL,0.69,2.44,0.74,0.133,1.73,28.2,69.0,72.6,0.026,0.099,0.0,13.5,LOW
N5,NORMAL,0.61,0.99,0.96,0.129,3.1,24.2,72.8,99.6,0.037,0.09,0.015,9.8,LOW
N3,NORMAL,0.82,0.36,0.47,0.177,4.95,31.1,77.4,95.7,0.022,0.089,0.012,12.6,LOW
N6,SUBSIDENCE,8.78,20.35,12.85,2.282,68.84,37.9,77.5,92.0,0.767,3.142,0.315,100.0,CRITICAL
N5,NORMAL,0.9,1.29,0.2,0.11,4.64,36.5,81.5,87.8,0.009,0.026,0.02,8.1,LOW
N6,NORMAL,0.59,1.13,0.44,0.086,2.73,24.4,86.6,70.5,0.017,0.017,0.014,6.4,LOW
N4,NORMAL,0.31,1.07,0.12,0.082,-1.28,32.1,83.8,60.2,0.024,0.018,0.003,3.4,LOW
N6,WARNING,2.09,2.93,3.22,0.568,6.49,25.8,68.4,93.6,0.285,0.772,0.097,41.2,MEDIUM
N2,NORMAL,0.61,0.22,0.93,0.115,2.83,32.0,85.9,63.4,0.041,0.082,0.002,6.2,LOW
N3,WARNING,1.71,4.68,3.66,0.665,28.46,30.3,85.4,94.0,0.298,0.27,0.128,46.8,MEDIUM
N1,WARNING,2.33,5.2,2.82,0.603,11.04,29.0,86.0,99.1,0.29,0.164,0.025,39.8,MEDIUM
N2,WARNING,3.35,6.29,2.31,0.52,34.06,24.1,76.4,82.7,0.116,0.435,0.179,53.3,HIGH
N2,NORMAL,1.09,2.48,0.56,0.171,-1.31,36.1,66.6,97.4,0.035,0.04,0.015,12.1,LOW
N2,WARNING,1.36,6.64,1.21,0.671,11.15,35.0,87.9,82.8,0.159,0.753,0.202,41.2,MEDIUM
N5,NORMAL,1.15,2.11,0.44,0.139,4.99,36.6,74.8,99.1,0.044,0.0,0.015,12.8,LOW
N6,SUBSIDENCE,6.91,23.58,6.9,1.083,75.24,31.0,91.0,98.2,1.204,2.158,1.008,100.0,CRITICAL
N6,WARNING,2.57,7.13,3.56,0.587,10.76,27.4,70.0,81.1,0.089,0.744,0.081,48.5,MEDIUM
N5,NORMAL,0.84,1.76,0.26,0.035,0.17,26.6,90.2,94.3,0.025,0.061,0.005,8.7,LOW
N3,NORMAL,0.41,1.49,0.44,0.043,4.58,36.0,88.7,83.2,0.0,0.019,0.007,7.6,LOW
N5,NORMAL,0.86,0.98,0.94,0.024,-1.29,32.1,92.1,94.1,0.046,0.095,0.01,8.8,LOW
N5,WARNING,3.18,4.54,3.49,0.22,19.61,25.1,68.6,63.3,0.109,0.125,0.162,41.1,MEDIUM
N5,NORMAL,1.17,0.29,0.27,0.124,3.76,30.6,89.6,87.3,0.03,0.098,0.007,9.5,LOW
N3,NORMAL,0.34,1.35,0.98,0.158,-0.66,30.3,70.4,60.6,0.009,0.083,0.004,9.6,LOW
N3,NORMAL,1.06,1.99,0.47,0.046,3.64,30.1,81.1,90.5,0.018,0.066,0.006,13.5,LOW
N4,WARNING,3.11,4.94,1.7,0.268,15.22,31.9,66.0,95.4,0.25,0.292,0.031,36.7,MEDIUM
N4,WARNING,2.76,3.91,2.41,0.601,32.47,32.4,79.9,71.7,0.269,0.149,0.039,45.5,MEDIUM
N4,WARNING,3.45,6.6,3.06,0.283,13.52,33.8,77.6,87.6,0.201,0.657,0.234,51.0,HIGH
N4,WARNING,1.36,5.8,3.68,0.543,5.23,35.4,71.1,76.4,0.224,0.609,0.144,41.4,MEDIUM
N6,NORMAL,0.99,1.59,0.99,0.031,-0.29,25.9,75.6,62.1,0.01,0.098,0.017,9.9,LOW
N2,NORMAL,0.8,0.96,0.26,0.104,3.57,27.0,78.4,81.5,0.02,0.076,0.009,7.6,LOW
N2,WARNING,2.26,4.01,1.56,0.72,13.92,37.8,89.8,83.3,0.226,0.338,0.243,42.3,MEDIUM
N4,NORMAL,0.7,0.96,0.12,0.033,1.26,33.0,75.5,60.1,0.049,0.025,0.008,5.4,LOW
N4,NORMAL,0.54,2.05,0.94,0.064,4.45,35.8,73.6,90.2,0.043,0.041,0.0,9.7,LOW
N1,NORMAL,0.73,0.71,0.65,0.142,1.32,27.4,88.3,90.0,0.037,0.04,0.02,7.9,LOW
N2,NORMAL,0.68,1.01,0.45,0.121,1.71,31.1,72.8,84.7,0.038,0.036,0.002,9.2,LOW
N1,NORMAL,0.67,1.99,0.58,0.089,-1.16,29.8,80.9,83.6,0.006,0.064,0.018,8.6,LOW
N1,SUBSIDENCE,7.56,10.2,14.6,1.223,76.69,35.9,80.9,69.4,1.463,0.82,0.788,100.0,CRITICAL
N5,NORMAL,0.87,2.0,0.36,0.068,1.82,28.4,78.7,95.6,0.018,0.084,0.016,10.3,LOW
N6,NORMAL,0.26,1.93,0.32,0.039,-1.18,28.2,71.0,79.1,0.014,0.055,0.018,4.0,LOW
N3,NORMAL,0.27,0.82,0.99,0.109,3.49,35.4,65.6,94.4,0.011,0.052,0.01,9.0,LOW
N2,WARNING,1.38,7.54,1.43,0.483,7.98,31.6,78.8,60.9,0.162,0.309,0.117,37.7,MEDIUM
N4,NORMAL,1.05,0.42,0.98,0.156,1.93,26.8,87.0,93.3,0.012,0.009,0.013,11.4,LOW
N4,SUBSIDENCE,11.91,26.66,21.54,1.265,97.72,27.9,78.3,99.5,0.84,2.15,0.586,100.0,CRITICAL
N3,SUBSIDENCE,6.3,25.06,8.11,1.913,39.14,32.7,88.1,81.4,1.734,2.686,1.166,100.0,CRITICAL
N2,NORMAL,0.87,1.78,0.53,0.057,-0.52,31.0,89.0,65.4,0.044,0.012,0.011,6.4,LOW
N4,SUBSIDENCE,9.34,30.42,16.62,2.893,77.19,36.6,68.9,87.2,1.689,2.09,0.481,100.0,CRITICAL
N4,SUBSIDENCE,8.17,8.05,8.32,2.461,59.73,27.6,73.5,85.5,0.94,3.025,1.164,100.0,CRITICAL
N5,WARNING,2.55,6.55,2.92,0.368,19.98,35.8,75.9,76.5,0.271,0.23,0.107,43.4,MEDIUM
N1,WARNING,1.93,7.45,2.99,0.299,27.49,33.7,88.8,97.3,0.06,0.377,0.229,45.7,MEDIUM
N4,NORMAL,0.95,0.4,0.23,0.1,-1.9,31.8,78.6,94.2,0.031,0.066,0.014,5.0,LOW
N6,NORMAL,0.94,1.61,0.05,0.131,1.91,29.9,91.8,64.2,0.035,0.031,0.016,9.9,LOW
N2,NORMAL,0.63,0.67,0.45,0.077,3.62,31.3,86.4,74.3,0.008,0.06,0.008,9.4,LOW
N6,NORMAL,0.5,0.38,0.55,0.087,3.69,27.7,76.8,66.8,0.022,0.097,0.003,7.6,LOW
N3,SUBSIDENCE,11.76,31.72,4.2,2.746,93.59,33.6,72.6,86.6,0.377,2.938,0.718,100.0,CRITICAL
N5,NORMAL,0.84,1.44,0.92,0.166,-1.67,31.3,65.7,87.1,0.014,0.036,0.001,9.7,LOW
N2,WARNING,1.21,2.68,3.5,0.324,7.44,30.9,81.6,90.1,0.15,0.136,0.193,30.6,MEDIUM
N5,WARNING,3.0,3.25,1.84,0.28,6.62,31.1,84.0,90.9,0.184,0.275,0.055,31.0,MEDIUM
N1,SUBSIDENCE,3.65,27.47,8.81,4.171,46.77,36.8,72.3,63.0,0.957,4.389,0.516,100.0,CRITICAL
N4,SUBSIDENCE,3.86,43.1,7.83,1.757,107.52,26.2,90.2,90.5,1.286,2.606,0.794,100.0,CRITICAL
N2,NORMAL,0.2,1.01,0.89,0.058,2.28,35.4,69.1,60.6,0.024,0.082,0.001,8.6,LOW
N3,NORMAL,0.76,0.79,0.71,0.095,2.24,30.9,78.1,86.2,0.034,0.093,0.016,6.8,LOW
N1,NORMAL,0.91,0.6,0.03,0.093,-1.3,24.4,81.6,78.6,0.014,0.058,0.003,3.8,LOW
N1,NORMAL,0.44,1.28,0.68,0.037,-0.21,29.6,68.6,70.1,0.04,0.067,0.005,7.3,LOW
N5,NORMAL,1.03,1.21,0.64,0.046,-0.72,28.6,81.9,79.7,0.047,0.084,0.016,9.0,LOW
N1,NORMAL,1.15,0.75,0.95,0.133,0.9,29.0,70.2,79.7,0.013,0.076,0.016,12.2,LOW
N2,WARNING,2.28,6.49,3.92,0.483,26.95,35.4,75.3,63.2,0.138,0.52,0.047,50.8,HIGH
N5,NORMAL,1.19,2.27,0.2,0.078,4.56,27.4,71.8,81.0,0.04,0.091,0.011,10.8,LOW
N1,NORMAL,1.12,1.65,0.03,0.11,2.26,26.0,87.5,67.9,0.029,0.069,0.006,8.8,LOW
N3,WARNING,1.46,4.48,3.5,0.227,10.87,33.4,90.3,68.2,0.169,0.301,0.186,34.2,MEDIUM
N6,NORMAL,0.81,1.98,0.06,0.026,1.91,29.6,84.3,88.1,0.029,0.039,0.001,7.9,LOW
N2,NORMAL,0.64,1.41,0.67,0.092,-0.16,32.7,79.1,92.8,0.011,0.075,0.01,8.8,LOW
N3,WARNING,2.34,7.93,1.73,0.259,16.21,32.4,82.7,71.7,0.28,0.697,0.077,45.6,MEDIUM
N3,WARNING,1.74,4.65,3.37,0.289,18.37,24.3,85.8,90.2,0.17,0.757,0.09,40.1,MEDIUM
N5,WARNING,2.82,6.35,2.45,0.191,26.9,27.7,90.5,64.2,0.284,0.21,0.036,42.7,MEDIUM
N4,NORMAL,0.89,0.34,0.03,0.163,3.39,24.7,84.4,87.4,0.03,0.017,0.006,9.0,LOW
N5,WARNING,1.95,4.36,2.89,0.719,16.84,36.2,90.4,87.0,0.173,0.589,0.099,46.0,MEDIUM
N2,WARNING,2.43,7.91,3.11,0.547,31.3,30.6,80.5,93.1,0.189,0.27,0.052,54.1,HIGH
N2,NORMAL,0.25,1.77,0.3,0.17,1.29,35.9,69.9,75.9,0.031,0.065,0.002,9.3,LOW
N5,WARNING,2.75,2.8,2.74,0.414,6.92,25.2,81.4,72.2,0.232,0.451,0.09,35.0,MEDIUM
N4,SUBSIDENCE,11.55,29.89,9.13,2.574,75.46,35.6,81.4,69.0,1.39,4.138,1.453,100.0,CRITICAL
N5,NORMAL,0.54,1.32,0.13,0.061,4.89,32.0,72.0,67.7,0.038,0.048,0.005,6.3,LOW
N2,NORMAL,0.2,1.0,0.54,0.045,-0.6,31.9,83.5,87.8,0.02,0.049,0.015,5.4,LOW
N4,SUBSIDENCE,7.33,20.7,18.41,3.608,46.55,31.4,90.3,85.1,1.73,4.241,1.339,100.0,CRITICAL
N2,WARNING,1.67,6.76,2.22,0.347,31.35,31.8,83.5,98.0,0.266,0.705,0.218,46.9,MEDIUM
N4,NORMAL,0.24,2.05,0.53,0.177,2.47,26.1,65.3,81.7,0.008,0.082,0.013,9.9,LOW
N4,WARNING,1.76,7.27,1.75,0.558,15.35,32.1,82.4,94.3,0.138,0.227,0.136,38.4,MEDIUM
N5,NORMAL,0.82,1.9,0.32,0.087,-1.87,35.4,85.3,98.8,0.004,0.039,0.004,9.0,LOW
N5,NORMAL,1.08,2.45,0.37,0.098,0.61,27.5,77.7,84.1,0.048,0.04,0.002,9.3,LOW
N5,NORMAL,0.78,1.95,0.65,0.099,-1.79,36.5,82.9,68.0,0.035,0.009,0.009,7.4,LOW
N4,SUBSIDENCE,10.37,19.12,14.39,2.944,89.83,26.8,78.7,74.9,0.397,3.961,0.392,100.0,CRITICAL
N4,SUBSIDENCE,3.96,14.14,11.91,3.61,44.1,30.5,78.8,76.4,0.457,3.778,0.865,100.0,CRITICAL
N2,NORMAL,0.96,0.22,0.43,0.045,0.16,33.3,88.9,92.6,0.006,0.043,0.013,6.2,LOW
N3,NORMAL,0.76,1.01,0.05,0.026,-1.21,30.5,87.1,80.6,0.049,0.079,0.008,6.4,LOW
N5,NORMAL,0.5,1.0,0.21,0.162,0.9,28.5,87.6,91.6,0.038,0.057,0.015,8.7,LOW
N6,SUBSIDENCE,4.39,11.38,21.74,1.157,86.36,31.4,73.2,86.6,1.422,1.035,1.183,100.0,CRITICAL
N2,SUBSIDENCE,10.58,29.19,19.67,0.827,90.4,29.3,70.0,95.4,0.554,1.858,0.965,100.0,CRITICAL
N2,WARNING,3.29,2.7,2.5,0.296,30.9,24.8,68.8,79.9,0.166,0.435,0.164,41.8,MEDIUM
N1,WARNING,3.42,7.14,3.67,0.258,33.76,34.5,87.1,89.4,0.232,0.328,0.219,54.1,HIGH
N5,WARNING,3.04,7.72,1.41,0.75,31.17,34.9,83.1,71.2,0.16,0.21,0.124,53.7,HIGH
N2,NORMAL,0.55,2.39,0.8,0.04,1.82,34.0,82.3,61.8,0.047,0.003,0.001,10.1,LOW
N1,NORMAL,1.2,1.53,0.49,0.092,2.9,32.6,89.2,92.7,0.023,0.066,0.01,10.5,LOW
N6,NORMAL,1.03,0.67,0.06,0.154,-1.7,36.6,83.8,98.7,0.011,0.053,0.017,6.0,LOW
N6,WARNING,2.88,5.4,1.4,0.424,29.67,26.4,68.0,91.8,0.121,0.505,0.246,43.9,MEDIUM
N5,WARNING,1.26,6.04,2.01,0.593,8.61,30.8,70.3,84.0,0.133,0.112,0.074,35.2,MEDIUM
N4,NORMAL,0.23,1.91,0.92,0.082,1.7,34.3,71.4,87.8,0.024,0.079,0.02,8.4,LOW
N1,SUBSIDENCE,8.73,15.77,8.34,3.002,95.59,35.7,81.3,92.6,1.444,3.044,1.422,100.0,CRITICAL
N4,NORMAL,0.42,0.81,0.97,0.172,4.16,26.8,78.4,78.6,0.011,0.059,0.011,11.2,LOW
N6,NORMAL,0.36,2.4,0.49,0.104,2.19,27.4,83.1,75.2,0.044,0.053,0.011,8.5,LOW
N6,WARNING,2.69,4.15,3.15,0.533,19.23,26.4,67.5,61.6,0.074,0.539,0.218,45.9,MEDIUM
N3,WARNING,1.27,7.13,3.18,0.295,32.51,25.1,75.4,64.1,0.084,0.362,0.124,44.7,MEDIUM
N3,WARNING,3.02,2.76,1.05,0.598,28.43,25.6,79.5,79.6,0.174,0.323,0.074,40.7,MEDIUM
N3,NORMAL,0.6,1.99,0.1,0.127,0.81,27.2,95.0,95.5,0.012,0.068,0.004,6.7,LOW
N3,NORMAL,0.87,0.93,0.54,0.04,0.34,35.3,90.7,67.0,0.003,0.061,0.017,7.9,LOW
N2,WARNING,2.7,7.76,3.35,0.182,31.47,25.6,86.9,60.1,0.226,0.185,0.092,49.6,MEDIUM
N3,NORMAL,0.61,2.5,0.85,0.114,2.86,34.7,70.5,74.9,0.03,0.081,0.018,13.5,LOW
N2,NORMAL,0.96,2.09,0.63,0.134,-0.78,35.2,70.8,74.1,0.019,0.053,0.02,10.7,LOW
N2,WARNING,1.7,3.34,1.36,0.73,32.2,33.1,87.0,91.6,0.171,0.484,0.213,42.2,MEDIUM
N5,NORMAL,0.63,2.44,0.63,0.121,-1.01,36.7,90.7,86.9,0.049,0.007,0.02,9.6,LOW
N2,WARNING,2.6,7.98,3.92,0.643,7.61,25.7,75.4,60.8,0.143,0.706,0.182,50.9,HIGH
N2,WARNING,3.25,6.61,2.31,0.613,33.0,33.9,94.8,66.5,0.12,0.3,0.131,55.2,HIGH
N3,NORMAL,0.48,1.04,0.73,0.162,-0.71,32.9,71.1,77.6,0.036,0.091,0.002,7.9,LOW
N2,NORMAL,0.24,1.77,0.4,0.111,1.66,32.3,82.2,72.6,0.035,0.09,0.006,8.1,LOW
N4,WARNING,2.35,2.72,2.28,0.334,30.92,35.4,75.6,93.9,0.139,0.235,0.142,39.1,MEDIUM
N3,WARNING,1.95,6.55,1.35,0.215,27.13,37.8,70.1,72.0,0.142,0.375,0.152,38.7,MEDIUM
N1,WARNING,2.69,6.36,3.12,0.519,22.65,29.8,71.5,64.2,0.087,0.684,0.022,51.3,HIGH
N3,WARNING,1.93,6.11,2.49,0.678,22.99,26.5,93.7,78.7,0.113,0.461,0.072,46.3,MEDIUM
N2,WARNING,2.7,7.3,1.97,0.63,28.66,27.8,88.3,66.5,0.256,0.233,0.241,50.8,HIGH
N4,SUBSIDENCE,11.36,23.83,16.04,3.683,56.18,32.6,81.4,63.1,0.883,1.96,0.604,100.0,CRITICAL
N3,NORMAL,0.84,1.17,0.89,0.162,3.04,37.6,93.7,64.4,0.043,0.092,0.012,12.3,LOW
N4,NORMAL,0.68,0.46,0.68,0.142,4.19,25.8,79.6,93.3,0.033,0.045,0.003,8.3,LOW
N1,NORMAL,0.93,2.23,0.81,0.053,-0.6,27.7,65.7,82.9,0.023,0.019,0.004,9.4,LOW
N6,NORMAL,0.54,0.75,0.13,0.093,2.21,34.3,72.1,79.4,0.049,0.025,0.001,6.8,LOW
N1,NORMAL,0.99,0.29,0.14,0.036,-0.36,24.6,67.2,82.6,0.009,0.032,0.015,4.6,LOW
N6,NORMAL,0.67,1.29,0.52,0.139,2.03,27.4,91.1,75.2,0.023,0.008,0.019,9.2,LOW
N5,SUBSIDENCE,9.31,24.8,10.37,2.869,75.21,28.2,75.1,98.9,0.649,2.044,0.293,100.0,CRITICAL
N6,NORMAL,0.68,1.81,0.67,0.177,1.89,34.6,68.1,79.2,0.029,0.03,0.013,9.8,LOW
N5,NORMAL,0.56,0.46,0.34,0.106,2.55,29.9,93.2,61.2,0.014,0.048,0.015,5.8,LOW
N3,NORMAL,0.39,0.51,0.54,0.048,3.19,32.8,70.9,89.5,0.046,0.021,0.018,3.8,LOW
N5,NORMAL,0.2,1.79,0.86,0.172,-1.62,34.8,87.3,88.7,0.003,0.093,0.016,10.5,LOW
N4,NORMAL,0.77,2.07,0.03,0.138,2.08,35.1,93.7,70.7,0.045,0.094,0.005,10.3,LOW
N5,NORMAL,1.04,1.55,0.39,0.152,4.09,29.8,67.1,71.8,0.014,0.079,0.001,10.7,LOW
N4,NORMAL,1.15,1.89,0.76,0.042,2.05,27.9,92.0,66.8,0.019,0.073,0.003,9.9,LOW
N6,WARNING,2.65,4.23,1.25,0.307,31.08,31.3,73.4,73.8,0.278,0.394,0.163,39.0,MEDIUM
N6,SUBSIDENCE,7.98,33.73,10.3,3.161,107.07,26.5,88.0,85.0,0.337,1.406,1.395,100.0,CRITICAL
N6,SUBSIDENCE,3.91,8.03,13.04,1.155,100.42,37.2,86.6,88.7,1.021,1.667,0.46,100.0,CRITICAL
N5,WARNING,1.4,5.93,3.61,0.617,8.54,37.2,89.7,87.2,0.287,0.149,0.148,40.1,MEDIUM
N6,NORMAL,1.04,1.75,0.05,0.076,0.99,27.2,84.7,95.1,0.027,0.023,0.018,7.7,LOW
N5,SUBSIDENCE,9.73,13.03,21.13,1.067,50.01,28.8,94.4,65.6,0.509,3.268,1.259,100.0,CRITICAL
N5,SUBSIDENCE,6.18,26.14,18.56,2.049,48.49,25.8,73.3,89.6,0.997,2.563,0.27,100.0,CRITICAL
N2,NORMAL,0.5,0.69,0.11,0.065,1.37,34.3,79.0,77.8,0.005,0.001,0.003,4.9,LOW
N2,WARNING,1.25,6.41,1.61,0.232,30.26,37.5,83.7,62.7,0.171,0.624,0.209,40.9,MEDIUM
N5,NORMAL,0.71,1.37,0.06,0.069,0.89,35.9,71.9,60.2,0.008,0.001,0.015,5.2,LOW
N4,WARNING,3.25,3.24,2.21,0.389,9.93,37.6,70.7,93.9,0.2,0.743,0.138,40.5,MEDIUM
N3,SUBSIDENCE,5.68,17.27,6.12,3.73,89.38,38.5,83.1,76.3,0.812,2.093,1.306,100.0,CRITICAL
N1,NORMAL,0.16,0.49,0.14,0.064,-0.2,31.1,65.5,62.7,0.027,0.094,0.017,3.0,LOW
N2,SUBSIDENCE,10.81,18.49,9.73,1.232,51.73,30.4,78.5,67.3,0.671,2.325,1.029,100.0,CRITICAL
N5,WARNING,1.33,4.42,1.19,0.351,30.13,33.0,94.6,72.0,0.142,0.235,0.227,33.2,MEDIUM
N1,SUBSIDENCE,5.2,19.02,18.62,1.273,53.08,39.2,84.9,74.5,1.352,3.531,1.449,100.0,CRITICAL
N2,NORMAL,0.6,1.21,0.39,0.074,-0.82,32.6,70.8,95.1,0.018,0.097,0.018,8.9,LOW
N3,WARNING,1.92,5.5,3.74,0.371,32.4,29.2,81.6,73.9,0.109,0.75,0.102,48.1,MEDIUM
N4,NORMAL,0.59,1.35,0.49,0.174,-0.03,25.0,79.4,82.0,0.014,0.084,0.008,7.7,LOW
N5,NORMAL,0.78,0.74,0.97,0.138,3.04,35.4,66.0,90.2,0.044,0.003,0.012,12.1,LOW
N3,NORMAL,1.19,1.56,0.42,0.093,2.76,29.8,87.4,85.8,0.028,0.079,0.008,11.3,LOW
N2,SUBSIDENCE,10.11,40.83,8.74,1.837,74.52,33.5,86.4,80.9,1.696,3.888,0.836,100.0,CRITICAL
N5,WARNING,1.43,4.44,1.14,0.562,15.11,29.3,71.6,68.6,0.235,0.401,0.03,35.7,MEDIUM
